competition_type,category,arrow_count,max_score
"1/2 FITA",outdoor,72,720
"Trofeo Pinocchio fase invernale",indoor,48,480
"12+12 - O.R. Individuale - O.R. Squadre - Gara GP Campagna",outdoor,24,240
"1/2 FITA - O.R. Individuale - O.R. Squadre",outdoor,72,720
"12+12 - O.R. Individuale - Gara GP Campagna",outdoor,24,240
"12+12",outdoor,24,240
"12+12 - O.R. Individuale",outdoor,24,240
"12+12 - Gara GP Campagna",outdoor,24,240
"12+12 - O.R. Individuale - O.R. Squadre",outdoor,24,240
"1440 Round (FITA)",outdoor,144,1440
"12+12 - O.R. Squadre",outdoor,24,240
"18 m - O.R. Individuale",indoor,60,600
"18 m",indoor,60,600
"1440 Round (FITA) - O.R. Individuale - O.R. Squadre",outdoor,144,1440
"24+24 - O.R. Individuale",outdoor,48,480
"18 m - O.R. Individuale - O.R. Squadre",indoor,60,600
"24+24 - Gara GP Campagna",outdoor,48,480
"24+24",outdoor,48,480
"25 m - O.R. Individuale - O.R. Squadre",indoor,60,600
"25 m",indoor,60,600
"24+24 - O.R. Individuale - O.R. Squadre",outdoor,48,480
"25 m - O.R. Individuale",indoor,60,600
"25 m - O.R. Squadre",indoor,60,600
"25+18",indoor,120,1200
"3D - O.R. Individuale - O.R. Squadre",field,24,240
"3D",field,24,240
"2x1440 Round (doppioFITA)",outdoor,288,2880
"3D - O.R. Individuale",field,24,240
"50mt Match Round",outdoor,36,360
"3D - O.R. Squadre",field,24,240
"70/60mt Round - 50mt Round - O.R. Individuale",outdoor,72,720
"70/60mt Round - 50mt Round - 36 Frecce",outdoor,36,360
"70/60mt Round - 50mt Round",outdoor,72,720
"50mt Match Round - O.R. Individuale - O.R. Squadre",outdoor,36,360
"70/60mt Round - 50mt Round - 36 Frecce - O.R. Individuale - O.R. Squadre",outdoor,36,360
"70/60mt Round - 50mt Round - 36 Frecce - O.R. Individuale",outdoor,36,360
"70/60mt Round - 50mt Round - O.R. Individuale - O.R. Squadre",outdoor,72,720
"900 round",outdoor,90,900
"70mt Round + O.R. (regole fino 31/03/2011)",outdoor,72,720
"Altro - O.R. Individuale - O.R. Squadre",other,72,720
"Altro",other,72,720
"900 round - O.R. Individuale - O.R. Squadre",outdoor,90,900
"Altro - O.R. Individuale",other,72,720
"Altro - O.R. Squadre",other,72,720
"Clout",outdoor,36,360
"Doppio 70/60mt Round - Doppio 50mt Round",outdoor,144,1440
"Coppa Italia Master",other,72,720
"Outdoor 25 metri - O.R. Individuale - O.R. Squadre",indoor,60,600
"Doppio 70/60mt Round - Doppio 50mt Round - O.R. Squadre",outdoor,144,1440
"Outdoor 25 metri",indoor,60,600
"Outdoor 25 metri - O.R. Squadre",indoor,60,600
"Trofeo Pinocchio",indoor,48,480
"Run Archery",other,36,360